set,product_id,card,url,Ungraded,Grade 9,PSA 10
pokemon-promo,643533,Mew #8,https://www.pricecharting.com/game/pokemon-promo/mew-8,8.56,38.36,336.78
pokemon-promo,12384630,Tyrunt #70,https://www.pricecharting.com/game/pokemon-promo/tyrunt-70,4.99,33.96,335.17
pokemon-promo,8465690,Rayquaza [Cosmos Holo] #SWSH029,https://www.pricecharting.com/game/pokemon-promo/rayquaza-cosmos-holo-swsh029,10.5,33.5,334.5
pokemon-promo,1431254,Pikachu [WOTC] #27,https://www.pricecharting.com/game/pokemon-promo/pikachu-wotc-27,17.99,50.47,334.08
pokemon-promo,844882,Lucario & Melmetal GX #SM192,https://www.pricecharting.com/game/pokemon-promo/lucario-&-melmetal-gx-sm192,58.24,75.5,329.0
pokemon-promo,11239746,Team Rocket's Moltres Ex Ultra Premium Collection Box,https://www.pricecharting.com/game/pokemon-promo/team-rocket%27s-moltres-ex-ultra-premium-collection-box,328.08,,
pokemon-promo,844905,Trevenant & Dusknoir GX #SM217,https://www.pricecharting.com/game/pokemon-promo/trevenant-&-dusknoir-gx-sm217,18.77,39.74,325.0
pokemon-promo,844881,Detective Pikachu #SM190,https://www.pricecharting.com/game/pokemon-promo/detective-pikachu-sm190,5.72,49.99,319.59
pokemon-promo,3770614,Mewtwo V #SWSH223,https://www.pricecharting.com/game/pokemon-promo/mewtwo-v-swsh223,8.99,30.0,310.0
pokemon-promo,8675215,Pikachu #214,https://www.pricecharting.com/game/pokemon-promo/pikachu-214,17.99,29.65,305.0
pokemon-promo,4768542,Pikachu V #SWSH285,https://www.pricecharting.com/game/pokemon-promo/pikachu-v-swsh285,5.19,19.99,303.75
pokemon-promo,13179867,Archeops [Fossil Museum Exclusive] #51,https://www.pricecharting.com/game/pokemon-promo/archeops-fossil-museum-exclusive-51,50.24,81.41,300.62
pokemon-promo,12342777,Charmander #38,https://www.pricecharting.com/game/pokemon-promo/charmander-38,43.08,66.38,299.99
pokemon-promo,7808101,Magneton [Pokemon Center] #159,https://www.pricecharting.com/game/pokemon-promo/magneton-pokemon-center-159,70.54,64.5,296.99
pokemon-promo,10111991,Victini #208,https://www.pricecharting.com/game/pokemon-promo/victini-208,15.86,24.81,294.41
pokemon-promo,7558707,Charizard ex #161,https://www.pricecharting.com/game/pokemon-promo/charizard-ex-161,6.61,27.0,280.0
pokemon-promo,5811029,Snorlax #51,https://www.pricecharting.com/game/pokemon-promo/snorlax-51,25.0,44.0,277.0
pokemon-promo,9682865,Marnie's Morpeko #206,https://www.pricecharting.com/game/pokemon-promo/marnie%27s-morpeko-206,46.25,47.23,274.99
pokemon-promo,844884,Charizard GX #SM195,https://www.pricecharting.com/game/pokemon-promo/charizard-gx-sm195,19.99,60.26,271.75
pokemon-promo,6539080,Pikachu #88,https://www.pricecharting.com/game/pokemon-promo/pikachu-88,22.0,43.42,261.13
pokemon-promo,12843014,Mega Zygarde Ex Premium Collection,https://www.pricecharting.com/game/pokemon-promo/mega-zygarde-ex-premium-collection,45.0,70.39,258.75
pokemon-promo,5298581,Pikachu [Paldea] #27,https://www.pricecharting.com/game/pokemon-promo/pikachu-paldea-27,25.0,50.0,254.0
pokemon-promo,9497885,Team Rocket's Wobbuffet #203,https://www.pricecharting.com/game/pokemon-promo/team-rocket%27s-wobbuffet-203,14.59,28.5,253.75
pokemon-promo,7907549,Terapagos Ex Ultra Premium Collection Box,https://www.pricecharting.com/game/pokemon-promo/terapagos-ex-ultra-premium-collection-box,249.99,,
pokemon-promo,10212996,Pikachu [World Championships] #225,https://www.pricecharting.com/game/pokemon-promo/pikachu-world-championships-225,10.0,29.88,245.89
pokemon-promo,3684161,Radiant Eevee #SWSH230,https://www.pricecharting.com/game/pokemon-promo/radiant-eevee-swsh230,23.0,32.0,242.5
pokemon-promo,8651777,Feraligatr #213,https://www.pricecharting.com/game/pokemon-promo/feraligatr-213,5.53,14.5,239.77
pokemon-promo,11918192,Pikachu At The Museum [Jumbo],https://www.pricecharting.com/game/pokemon-promo/pikachu-at-the-museum-jumbo,21.31,222.5,
