Species,Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Pinsir,Pinsir #9,$14.81,$63.36,$215.51,https://storage.googleapis.com/images.pricecharting.com/42f4a65b4899b33ac62ef3cc1368f64e0f86dbff69b3fa5efab734755a7e12d7/60.jpg
Nidorina,Nidorina [Reverse Holo] #34,$19.99,$64.40,$249.99,https://storage.googleapis.com/images.pricecharting.com/1639a794f2916dda9b17379b489cacf059eee266d813b73b32c3c802dddad2b2/60.jpg
Bayleef,Bayleef [Reverse Holo] #26,$19.99,$92.26,$140.00,https://storage.googleapis.com/images.pricecharting.com/95ffc845c272332a9ce0fee8f5b3acc0b53936397f91898f0bed6ac8260e0dd1/60.jpg
Nidorina,Nidorina #34,$2.49,$16.50,$136.68,https://storage.googleapis.com/images.pricecharting.com/83f842fe35ccbeb5d43caa52f52e48984f887c8eda6cdeafe1491cf1e66b28d3/60.jpg
Bayleef,Bayleef #26,$2.03,$16.58,$81.87,https://storage.googleapis.com/images.pricecharting.com/9b7196dc8fc1c66440d7fe701b0e76eab7432ba407be416e14da1e74a488c015/60.jpg
Vibrava,Vibrava [Reverse Holo] #24,$19.86,$53.73,$85.85,https://storage.googleapis.com/images.pricecharting.com/58dc52a57ed081447ecb59fab650cd1154fbd24df0af81e016f17b97e4b43767/60.jpg
Vibrava,Vibrava [Reverse Holo] #42,$10.13,$36.00,$115.00,https://storage.googleapis.com/images.pricecharting.com/70034eaa0faaae04f6d10e8d0c02174ee2d737961f00797d2fdb2b10f39a06f0/60.jpg
Vibrava,Vibrava #42,$2.54,$22.00,$55.00,https://storage.googleapis.com/images.pricecharting.com/8378dcdcda0a5c0d5b9338920622da7c3cf174229d44f1e08631cccf4951c150/60.jpg
Vibrava,Vibrava #24,$2.07,$17.50,$86.96,https://storage.googleapis.com/images.pricecharting.com/b9cb724825d3b5ab448dd498576f2a58e3d93bf39dcbf6dd1272da7ca9b1afdb/60.jpg
Shelgon,Shelgon [Reverse Holo] #38,$19.72,$65.00,$757.38,https://storage.googleapis.com/images.pricecharting.com/d2bufyoa3bg3lqmw/60.jpg
Shelgon,Shelgon #38,$2.08,$17.51,$68.01,https://storage.googleapis.com/images.pricecharting.com/e6a46172ba6d79b1c636ba2ffce2e613b46a36a40d9da19c536909d82dbe4734/60.jpg
Mantine,Mantine [Reverse Holo] #20,$18.66,$44.99,$382.62,https://storage.googleapis.com/images.pricecharting.com/1947d35def7952f7b21c218b6c3fa86fbcbae4b0dad6be2601ecb19eb61afec0/60.jpg
Mantine,Mantine #20,$2.04,$26.87,$730.58,https://storage.googleapis.com/images.pricecharting.com/e837c047c27922d53791a0b998850cac4a89310fbfc47f1e6a17e0403e77d478/60.jpg
Quilava,Quilava [Reverse Holo] #36,$18.52,$59.14,$646.59,https://storage.googleapis.com/images.pricecharting.com/cd50a20f8b123aaceba05949f4bd1256a2b94ba3d6c939189fda8f2004efa93c/60.jpg
Quilava,Quilava #36,$2.59,$34.66,$52.79,https://storage.googleapis.com/images.pricecharting.com/d97aa415713e01781d04fe4521deb2e0fe3c40cbbfabe427e2c3ce9a39d8d98a/60.jpg
